Pair,Asset A,Asset B,Beta,ADF Stat,Half Life,Hurst,Zero Cross,Correlation
GAIL-ASHOKLEY,GAIL,ASHOKLEY,-0.4991810824355064,-2.8941822246122837,46.44381469148129,0.47704635601116807,47,-0.799281660519897
BAJAJ-AUTO-SBIN,BAJAJ-AUTO,SBIN,-0.7896443444868806,-2.6026983024432657,55.18488268497517,0.4770529841277697,43,-0.13966500393275888
TVSMOTOR-LUPIN,TVSMOTOR,LUPIN,0.33814868955935157,-2.2672184383411813,86.90872183712459,0.4772552481495993,22,0.24640982260216854
BRITANNIA-AMBUJACEM,BRITANNIA,AMBUJACEM,1.3033321943048042,-2.896977360060237,44.398454216228295,0.4774021110163773,20,0.14579983409432282
BAJAJ-AUTO-SBICARD,BAJAJ-AUTO,SBICARD,2.2715222070365293,-2.723984324112574,48.64263899019888,0.47758541082548894,61,0.4117886625739072
SBICARD-SUNPHARMA,SBICARD,SUNPHARMA,-0.22835412774194433,-2.6472346353061322,55.10777450215456,0.4776554511156883,63,-0.4907313875418239
TECHM-DRREDDY,TECHM,DRREDDY,1.4294059547360516,-2.0098788629448143,93.61517576045146,0.4777489542009362,21,0.6629364536948281
SAIL-BPCL,SAIL,BPCL,0.2002187933802692,-0.8778119546884542,217.94194341031033,0.4777762676244564,38,0.5243429216087039
VEDL-SHRIRAMFIN,VEDL,SHRIRAMFIN,0.29479500785738444,-0.8165843701526408,231.57787942449343,0.47786841267577357,33,0.704073178907286
JINDALSTEL-HDFCBANK,JINDALSTEL,HDFCBANK,-0.7109400501337353,-1.5904627130029712,114.94784307366162,0.47814161940859495,20,-0.20710815896788876
OFSS-BAJAJFINSV,OFSS,BAJAJFINSV,3.8593405454976626,-1.9093195978213147,75.97600432701265,0.47827784673225116,27,0.6538467947154579
RELIANCE-SBIN,RELIANCE,SBIN,1.2391336127570072,-2.695801384059265,49.04223014012873,0.4789968525092434,46,0.8145759635730907
JINDALSTEL-KOTAKBANK,JINDALSTEL,KOTAKBANK,-0.4592561345237531,-2.556513533375526,51.293489361972114,0.4790088626354654,39,-0.6179371812297592
JINDALSTEL-AXISBANK,JINDALSTEL,AXISBANK,-0.4510929724194918,-2.058901383466213,82.36338537494794,0.4790310143842602,28,-0.341889561647612
HINDUNILVR-SBIN,HINDUNILVR,SBIN,-2.1406184627772924,-1.6144290051709305,122.67388948536309,0.4790890000723852,51,-0.5381963472425539
KOTAKBANK-GRASIM,KOTAKBANK,GRASIM,0.23276725682963725,-2.3065917626008474,83.75705554884836,0.47917079466733414,14,0.41620312246339314
TVSMOTOR-BPCL,TVSMOTOR,BPCL,-3.101370726909459,-2.100212099531399,74.20980753436945,0.47921689604714424,16,-0.49870674048985375
BRITANNIA-BAJAJFINSV,BRITANNIA,BAJAJFINSV,0.5268678811447852,-2.726084070378849,50.12278553565753,0.4792682201970604,20,0.20455380816585358
TATAPOWER-HDFCBANK,TATAPOWER,HDFCBANK,0.20885085614546695,-1.2401259612215205,194.52389367050907,0.4793732197239843,21,0.19773422479669908
LUPIN-NESTLEIND,LUPIN,NESTLEIND,-1.7600011476017943,-2.3248913732471177,62.069850793466756,0.47945951190014213,15,-0.6216621896922161
BAJAJ-AUTO-HINDUNILVR,BAJAJ-AUTO,HINDUNILVR,0.3943161147947931,-2.5860443208367423,55.49614184209287,0.47972988582792153,39,0.2773953110782036
JINDALSTEL-IOC,JINDALSTEL,IOC,2.868048031577725,-1.295730774214881,145.8691105020115,0.4797383265528898,18,0.5222592283577326
BAJAJ-AUTO-ASHOKLEY,BAJAJ-AUTO,ASHOKLEY,1.3072357554307856,-2.639405922711601,56.394259718828046,0.47993706020589133,37,0.10961951197003544
SBICARD-TATASTEEL,SBICARD,TATASTEEL,1.135851316668684,-2.7851341620631165,60.61039613692572,0.48015256105650983,55,0.33370150457062836
SBIN-NESTLEIND,SBIN,NESTLEIND,-0.25071365683102864,-2.6128316150277664,81.95438036334998,0.48025855555021585,25,-0.24883284058330352
