timestamp,open,high,low,close,volume,symbol
2025-12-24 09:15:00+05:30,209.45,209.8,207.11,209.16,7103341,SILVERBEES
2025-12-24 09:25:00+05:30,209.17,209.37,209.05,209.33,2508553,SILVERBEES
2025-12-24 09:35:00+05:30,209.33,209.4,209.22,209.34,2209689,SILVERBEES
2025-12-24 09:45:00+05:30,209.38,209.48,209.01,209.4,1724324,SILVERBEES
2025-12-24 09:55:00+05:30,209.45,209.5,209.4,209.49,1613794,SILVERBEES
2025-12-24 10:05:00+05:30,209.49,210.0,209.47,209.92,2264660,SILVERBEES
2025-12-24 10:15:00+05:30,209.9,209.95,209.63,209.63,1488088,SILVERBEES
2025-12-24 10:25:00+05:30,209.58,209.72,209.3,209.39,2314952,SILVERBEES
2025-12-24 10:35:00+05:30,209.38,209.4,208.91,209.24,2798639,SILVERBEES
2025-12-24 10:45:00+05:30,209.24,209.39,209.17,209.3,945989,SILVERBEES
2025-12-24 10:55:00+05:30,209.28,209.5,209.14,209.4,1145997,SILVERBEES
2025-12-24 11:05:00+05:30,209.44,209.5,209.31,209.5,597133,SILVERBEES
2025-12-24 11:15:00+05:30,209.46,209.65,209.32,209.4,863487,SILVERBEES
2025-12-24 11:25:00+05:30,209.37,209.39,209.07,209.18,1104501,SILVERBEES
2025-12-24 11:35:00+05:30,209.17,209.48,209.1,209.47,638112,SILVERBEES
2025-12-24 11:45:00+05:30,209.49,209.49,209.1,209.39,753622,SILVERBEES
2025-12-24 11:55:00+05:30,209.39,209.59,209.31,209.58,1004939,SILVERBEES
2025-12-24 12:05:00+05:30,209.56,209.96,209.52,209.7,2214830,SILVERBEES
2025-12-24 12:15:00+05:30,209.71,209.95,209.62,209.94,1283766,SILVERBEES
2025-12-24 12:25:00+05:30,209.94,209.99,209.43,209.55,2122516,SILVERBEES
2025-12-24 12:35:00+05:30,209.55,209.74,209.45,209.66,920422,SILVERBEES
2025-12-24 12:45:00+05:30,209.65,209.79,209.52,209.75,570760,SILVERBEES
2025-12-24 12:55:00+05:30,209.75,209.83,209.65,209.83,436850,SILVERBEES
2025-12-24 13:05:00+05:30,209.8,209.83,209.65,209.7,466626,SILVERBEES
2025-12-24 13:15:00+05:30,209.7,209.75,209.48,209.71,486756,SILVERBEES
2025-12-24 13:25:00+05:30,209.71,209.71,209.05,209.1,1513205,SILVERBEES
2025-12-24 13:35:00+05:30,209.1,209.15,208.71,208.96,1589842,SILVERBEES
2025-12-24 13:45:00+05:30,208.95,209.07,208.42,208.7,1740266,SILVERBEES
2025-12-24 13:55:00+05:30,208.7,208.99,208.48,208.68,1055069,SILVERBEES
2025-12-24 14:05:00+05:30,208.68,208.99,208.6,208.8,1073028,SILVERBEES
2025-12-24 14:15:00+05:30,208.8,208.85,208.33,208.33,1181723,SILVERBEES
2025-12-24 14:25:00+05:30,208.33,208.33,207.54,208.1,2542672,SILVERBEES
2025-12-24 14:35:00+05:30,208.09,208.48,208.03,208.43,1233243,SILVERBEES
2025-12-24 14:45:00+05:30,208.45,208.87,208.44,208.7,1092128,SILVERBEES
2025-12-24 14:55:00+05:30,208.7,209.05,208.64,209.02,1718046,SILVERBEES
2025-12-24 15:05:00+05:30,209.0,209.19,208.71,209.18,2293847,SILVERBEES
2025-12-24 15:15:00+05:30,209.14,209.73,209.11,209.54,3167039,SILVERBEES
2025-12-24 15:25:00+05:30,209.54,209.58,209.26,209.26,1472047,SILVERBEES
2025-12-26 09:15:00+05:30,216.73,218.7,215.81,217.19,9588636,SILVERBEES
2025-12-26 09:25:00+05:30,217.16,217.25,216.4,216.8,5933816,SILVERBEES
2025-12-26 09:35:00+05:30,216.8,217.25,216.73,217.18,3845881,SILVERBEES
2025-12-26 09:45:00+05:30,217.16,217.19,216.86,217.0,2360407,SILVERBEES
2025-12-26 09:55:00+05:30,217.0,217.36,216.99,217.34,1793648,SILVERBEES
2025-12-26 10:05:00+05:30,217.34,217.36,216.85,217.18,1792274,SILVERBEES
2025-12-26 10:15:00+05:30,217.15,217.32,217.12,217.29,1014023,SILVERBEES
2025-12-26 10:25:00+05:30,217.29,217.29,217.11,217.26,1106516,SILVERBEES
2025-12-26 10:35:00+05:30,217.25,217.44,217.22,217.35,2007474,SILVERBEES
2025-12-26 10:45:00+05:30,217.4,217.4,217.21,217.37,1614118,SILVERBEES
2025-12-26 10:55:00+05:30,217.37,217.43,217.11,217.25,1854745,SILVERBEES
2025-12-26 11:05:00+05:30,217.25,217.67,217.25,217.59,1384018,SILVERBEES
2025-12-26 11:15:00+05:30,217.6,217.72,217.5,217.59,1465932,SILVERBEES
2025-12-26 11:25:00+05:30,217.59,217.74,217.56,217.64,2035669,SILVERBEES
2025-12-26 11:35:00+05:30,217.7,217.7,217.3,217.5,1456271,SILVERBEES
2025-12-26 11:45:00+05:30,217.5,217.85,217.5,217.84,1164973,SILVERBEES
2025-12-26 11:55:00+05:30,217.84,218.0,217.67,217.98,1810570,SILVERBEES
2025-12-26 12:05:00+05:30,218.0,218.29,217.95,218.23,2126192,SILVERBEES
2025-12-26 12:15:00+05:30,218.21,218.23,217.29,217.46,2744880,SILVERBEES
2025-12-26 12:25:00+05:30,217.45,217.8,217.32,217.8,1050507,SILVERBEES
2025-12-26 12:35:00+05:30,217.8,218.02,217.75,217.98,940470,SILVERBEES
2025-12-26 12:45:00+05:30,217.99,218.14,217.84,217.95,1124376,SILVERBEES
2025-12-26 12:55:00+05:30,217.95,217.95,217.66,217.82,1084431,SILVERBEES
2025-12-26 13:05:00+05:30,217.85,217.94,217.65,217.69,839883,SILVERBEES
2025-12-26 13:15:00+05:30,217.69,218.0,217.64,217.94,779629,SILVERBEES
2025-12-26 13:25:00+05:30,217.94,218.0,217.68,218.0,1111785,SILVERBEES
2025-12-26 13:35:00+05:30,218.0,218.0,217.82,218.0,653207,SILVERBEES
2025-12-26 13:45:00+05:30,218.0,218.0,217.9,217.96,607511,SILVERBEES
2025-12-26 13:55:00+05:30,217.96,218.11,217.91,217.97,1082880,SILVERBEES
2025-12-26 14:05:00+05:30,217.96,218.08,217.91,217.98,822283,SILVERBEES
2025-12-26 14:15:00+05:30,217.98,218.1,217.95,218.1,986705,SILVERBEES
2025-12-26 14:25:00+05:30,218.07,218.35,218.06,218.25,1738875,SILVERBEES
2025-12-26 14:35:00+05:30,218.34,218.35,218.16,218.25,1120527,SILVERBEES
2025-12-26 14:45:00+05:30,218.26,218.62,218.24,218.62,2066141,SILVERBEES
2025-12-26 14:55:00+05:30,218.6,219.66,218.42,219.56,3441175,SILVERBEES
2025-12-26 15:05:00+05:30,219.53,219.95,219.26,219.53,5339755,SILVERBEES
2025-12-26 15:15:00+05:30,219.53,220.0,219.5,219.84,4334093,SILVERBEES
2025-12-26 15:25:00+05:30,219.84,222.0,219.81,222.0,3343018,SILVERBEES
2025-12-29 09:15:00+05:30,235.21,243.29,235.08,238.0,18855727,SILVERBEES
2025-12-29 09:25:00+05:30,237.99,238.49,236.86,236.9,9698191,SILVERBEES
2025-12-29 09:35:00+05:30,236.92,236.99,234.7,235.73,9670883,SILVERBEES
2025-12-29 09:45:00+05:30,235.74,235.79,234.01,234.24,7318512,SILVERBEES
2025-12-29 09:55:00+05:30,234.26,236.5,234.1,236.28,6648258,SILVERBEES
2025-12-29 10:05:00+05:30,236.28,236.48,235.6,235.84,3239479,SILVERBEES
2025-12-29 10:15:00+05:30,235.8,235.8,234.3,234.48,4184924,SILVERBEES
2025-12-29 10:25:00+05:30,234.48,235.2,234.0,234.0,3669407,SILVERBEES
2025-12-29 10:35:00+05:30,233.99,234.2,232.44,233.77,5997092,SILVERBEES
2025-12-29 10:45:00+05:30,233.75,234.15,233.35,233.74,3116857,SILVERBEES
2025-12-29 10:55:00+05:30,233.7,234.7,232.71,234.54,3445587,SILVERBEES
2025-12-29 11:05:00+05:30,234.54,235.1,234.25,234.92,3280539,SILVERBEES
2025-12-29 11:15:00+05:30,234.94,236.25,234.94,236.15,3248100,SILVERBEES
2025-12-29 11:25:00+05:30,236.15,236.15,232.0,232.9,7081291,SILVERBEES
2025-12-29 11:35:00+05:30,232.9,233.72,232.33,232.33,3246853,SILVERBEES
2025-12-29 11:45:00+05:30,232.31,233.0,231.32,231.63,4712012,SILVERBEES
2025-12-29 11:55:00+05:30,231.64,231.69,226.1,229.32,10870507,SILVERBEES
2025-12-29 12:05:00+05:30,229.36,230.0,221.85,223.45,13542109,SILVERBEES
2025-12-29 12:15:00+05:30,223.46,223.59,196.3,209.57,32781564,SILVERBEES
2025-12-29 12:25:00+05:30,209.46,219.87,209.34,212.1,23040970,SILVERBEES
2025-12-29 12:35:00+05:30,212.15,218.99,211.49,218.5,12113453,SILVERBEES
2025-12-29 12:45:00+05:30,218.6,224.5,215.01,222.15,19623042,SILVERBEES
2025-12-29 12:55:00+05:30,222.0,222.2,218.52,221.19,7744290,SILVERBEES
2025-12-29 13:05:00+05:30,221.22,221.9,220.0,220.42,5140906,SILVERBEES
2025-12-29 13:15:00+05:30,220.52,221.44,218.61,218.68,4752082,SILVERBEES
2025-12-29 13:25:00+05:30,218.65,220.0,217.75,218.18,4337792,SILVERBEES
2025-12-29 13:35:00+05:30,218.2,219.9,217.73,219.82,2969237,SILVERBEES
2025-12-29 13:45:00+05:30,219.8,221.0,219.15,220.93,2491318,SILVERBEES
2025-12-29 13:55:00+05:30,220.93,220.93,218.0,218.3,2961124,SILVERBEES
2025-12-29 14:05:00+05:30,218.2,218.69,217.3,218.51,2766734,SILVERBEES
2025-12-29 14:15:00+05:30,218.52,218.97,214.4,215.8,7644362,SILVERBEES
2025-12-29 14:25:00+05:30,215.87,216.66,214.73,215.67,3971096,SILVERBEES
