timestamp,open,high,low,close,volume,symbol
2025-11-14 09:15:00+05:30,156.28,156.28,153.53,154.1,11764443,SILVERBEES
2025-11-14 10:15:00+05:30,154.1,154.12,152.43,153.58,5648158,SILVERBEES
2025-11-14 11:15:00+05:30,153.53,153.89,152.73,153.26,3641368,SILVERBEES
2025-11-14 12:15:00+05:30,153.25,153.29,152.23,153.03,4404021,SILVERBEES
2025-11-14 13:15:00+05:30,153.03,153.99,152.97,153.79,3779580,SILVERBEES
2025-11-14 14:15:00+05:30,153.79,153.85,152.95,153.39,3952413,SILVERBEES
2025-11-14 15:15:00+05:30,153.38,153.44,153.2,153.4,2550457,SILVERBEES
2025-11-17 09:15:00+05:30,150.0,150.0,147.91,147.98,14424941,SILVERBEES
2025-11-17 10:15:00+05:30,147.98,148.19,146.41,146.85,8763999,SILVERBEES
2025-11-17 11:15:00+05:30,146.85,148.0,146.82,147.68,5430469,SILVERBEES
2025-11-17 12:15:00+05:30,147.67,149.08,147.47,149.0,4509725,SILVERBEES
2025-11-17 13:15:00+05:30,148.99,149.48,147.99,148.18,6481340,SILVERBEES
2025-11-17 14:15:00+05:30,148.15,149.1,147.78,149.09,4665592,SILVERBEES
2025-11-17 15:15:00+05:30,149.05,149.07,148.75,148.8,2055312,SILVERBEES
2025-11-18 09:15:00+05:30,146.9,146.9,144.4,144.84,12254659,SILVERBEES
2025-11-18 10:15:00+05:30,144.83,145.65,144.72,145.59,4381502,SILVERBEES
2025-11-18 11:15:00+05:30,145.58,145.63,144.62,145.0,3672018,SILVERBEES
2025-11-18 12:15:00+05:30,144.99,145.08,144.15,144.84,4042067,SILVERBEES
2025-11-18 13:15:00+05:30,144.84,146.5,144.8,146.33,6148773,SILVERBEES
2025-11-18 14:15:00+05:30,146.3,146.7,145.98,146.6,4080425,SILVERBEES
2025-11-18 15:15:00+05:30,146.66,147.0,146.45,146.91,1893678,SILVERBEES
2025-11-19 09:15:00+05:30,148.02,148.75,147.64,148.06,7400155,SILVERBEES
2025-11-19 10:15:00+05:30,148.03,149.25,147.93,148.9,4874179,SILVERBEES
2025-11-19 11:15:00+05:30,148.9,149.66,148.84,149.36,4952768,SILVERBEES
2025-11-19 12:15:00+05:30,149.35,149.65,148.92,149.55,2525771,SILVERBEES
2025-11-19 13:15:00+05:30,149.53,149.61,148.94,149.15,2365460,SILVERBEES
2025-11-19 14:15:00+05:30,149.13,150.0,148.97,150.0,3462629,SILVERBEES
2025-11-19 15:15:00+05:30,149.99,151.4,149.91,151.27,3930051,SILVERBEES
2025-11-20 09:15:00+05:30,149.39,149.69,148.33,149.21,6560424,SILVERBEES
2025-11-20 10:15:00+05:30,149.21,149.34,148.76,148.95,3576522,SILVERBEES
2025-11-20 11:15:00+05:30,148.95,149.15,148.55,148.83,2607716,SILVERBEES
2025-11-20 12:15:00+05:30,148.84,149.09,148.35,148.49,2482950,SILVERBEES
2025-11-20 13:15:00+05:30,148.47,148.57,146.75,146.92,5371759,SILVERBEES
2025-11-20 14:15:00+05:30,146.92,148.3,146.81,148.05,4519438,SILVERBEES
2025-11-20 15:15:00+05:30,148.05,148.19,147.82,148.08,1693259,SILVERBEES
2025-11-21 09:15:00+05:30,146.49,146.49,144.74,144.94,9713139,SILVERBEES
2025-11-21 10:15:00+05:30,144.9,145.47,144.77,144.98,3357920,SILVERBEES
2025-11-21 11:15:00+05:30,144.98,145.2,144.33,144.56,4424712,SILVERBEES
2025-11-21 12:15:00+05:30,144.56,144.68,144.01,144.35,6038123,SILVERBEES
2025-11-21 13:15:00+05:30,144.35,144.62,143.65,144.37,4944968,SILVERBEES
2025-11-21 14:15:00+05:30,144.37,145.22,144.21,144.55,5311451,SILVERBEES
2025-11-21 15:15:00+05:30,144.55,144.76,144.4,144.65,1857759,SILVERBEES
2025-11-24 09:15:00+05:30,146.97,146.97,145.66,146.35,4583432,SILVERBEES
2025-11-24 10:15:00+05:30,146.35,146.63,146.01,146.49,2393844,SILVERBEES
2025-11-24 11:15:00+05:30,146.49,146.65,146.21,146.55,1632453,SILVERBEES
2025-11-24 12:15:00+05:30,146.55,146.62,146.15,146.58,1017201,SILVERBEES
2025-11-24 13:15:00+05:30,146.58,146.85,146.42,146.79,1166797,SILVERBEES
2025-11-24 14:15:00+05:30,146.75,147.5,146.68,147.06,4112131,SILVERBEES
2025-11-24 15:15:00+05:30,147.07,147.18,146.86,146.95,1226327,SILVERBEES
2025-11-25 09:15:00+05:30,149.33,149.99,149.3,149.82,5623251,SILVERBEES
2025-11-25 10:15:00+05:30,149.82,150.0,149.76,149.9,3137549,SILVERBEES
2025-11-25 11:15:00+05:30,149.92,150.37,149.7,149.77,2943558,SILVERBEES
2025-11-25 12:15:00+05:30,149.77,150.1,149.43,149.98,2867642,SILVERBEES
2025-11-25 13:15:00+05:30,149.99,150.08,149.12,149.53,3829194,SILVERBEES
2025-11-25 14:15:00+05:30,149.54,149.69,148.8,149.42,4165019,SILVERBEES
2025-11-25 15:15:00+05:30,149.42,149.44,149.2,149.21,1282918,SILVERBEES
2025-11-26 09:15:00+05:30,150.52,151.73,150.52,151.11,5731354,SILVERBEES
2025-11-26 10:15:00+05:30,151.09,151.54,151.01,151.13,2925888,SILVERBEES
